ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
5893082,HN599243,09/19/2007 09:30:00 PM,063XX S ROCKWELL ST,1661,GAMBLING,GAME/DICE,SIDEWALK,true,false,0825,008,15,66,19,1160130,1862478,2007,04/15/2016 08:55:02 AM,41.778342194,-87.688504766,"(41.778342194, -87.688504766)"
5893130,HN599341,09/19/2007 10:25:00 PM,028XX W 71ST ST,1661,GAMBLING,GAME/DICE,SIDEWALK,true,false,0831,008,18,66,19,1158455,1857424,2007,04/15/2016 08:55:02 AM,41.764507577,-87.694783011,"(41.764507577, -87.694783011)"
5894056,HN686017,11/02/2007 10:51:59 PM,052XX W QUINCY ST,1661,GAMBLING,GAME/DICE,SIDEWALK,true,false,1522,015,29,25,19,1141559,1898501,2007,04/15/2016 08:55:02 AM,41.877556719,-87.755700114,"(41.877556719, -87.755700114)"
5894234,HN684873,11/02/2007 01:01:08 PM,055XX W CONGRESS PKWY,1680,GAMBLING,OTHER,SIDEWALK,true,false,1522,015,29,25,19,1139513,1897134,2007,04/15/2016 08:55:02 AM,41.873843031,-87.763245932,"(41.873843031, -87.763245932)"
5895085,HN692466,11/06/2007 03:32:03 PM,050XX W GLADYS AVE,1661,GAMBLING,GAME/DICE,SIDEWALK,true,false,1533,015,29,25,19,1142729,1897869,2007,04/15/2016 08:55:02 AM,41.875800743,-87.75141986,"(41.875800743, -87.75141986)"
5895836,HN675452,10/28/2007 07:00:00 PM,038XX W AUGUSTA BLVD,1661,GAMBLING,GAME/DICE,SIDEWALK,true,false,1112,011,27,23,19,1150385,1906394,2007,04/15/2016 08:55:02 AM,41.899048375,-87.72308697,"(41.899048375, -87.72308697)"
5896261,HN686678,11/03/2007 11:15:00 AM,020XX W MADISON ST,1661,GAMBLING,GAME/DICE,PARKING LOT/GARAGE(NON.RESID.),true,false,1332,012,2,28,19,1162983,1900022,2007,04/15/2016 08:55:02 AM,41.88130787,-87.676993899,"(41.88130787, -87.676993899)"
5897406,HN692780,11/06/2007 05:05:27 PM,011XX N MAYFIELD AVE,1651,GAMBLING,GAME/CARDS,ALLEY,true,false,1511,015,29,25,19,1136821,1906919,2007,04/15/2016 08:55:02 AM,41.90074299,-87.772895196,"(41.90074299, -87.772895196)"
5897515,HN690377,11/05/2007 12:45:00 PM,007XX N CHRISTIANA AVE,1661,GAMBLING,GAME/DICE,SIDEWALK,true,false,1121,011,27,23,19,1153912,1904674,2007,04/15/2016 08:55:02 AM,41.894258956,-87.710178226,"(41.894258956, -87.710178226)"
5897640,HN694193,11/07/2007 02:36:59 PM,056XX S BISHOP ST,1661,GAMBLING,GAME/DICE,SIDEWALK,true,false,0713,007,16,67,19,1167630,1867245,2007,04/15/2016 08:55:02 AM,41.791265806,-87.660872637,"(41.791265806, -87.660872637)"
